任务,特征方案,模型,split,target,r2,rmse,mae
任务1_品质预测,R210+S960双光谱,PLS回归,测试集,titration_糖酸比,0.12669524375950547,3.476032415333865,2.9771100412960476
任务1_品质预测,R210+S960双光谱,PLS回归,测试集,titration_酸度,-0.4144732515659295,0.15418856246170548,0.12119077528371529
任务1_品质预测,R210+S960双光谱,PLS回归,验证集,titration_VC,0.34579259200065293,7.187237505532473,5.030101311110344
任务1_品质预测,R210+S960双光谱,PLS回归,验证集,titration_糖度,0.6360655817306948,0.9262711110276898,0.680362335797989
任务1_品质预测,R210+S960双光谱,PLS回归,验证集,titration_糖酸比,0.08992690547647209,3.560662483550701,2.9858625112030657
任务1_品质预测,R210+S960双光谱,PLS回归,验证集,titration_酸度,-0.2911484491771992,0.13818806787270735,0.11479721649338563
任务1_品质预测,R210+S960双光谱,SVR回归,测试集,titration_VC,0.20696313025204138,6.507391292612817,4.882024339899586
任务1_品质预测,R210+S960双光谱,SVR回归,测试集,titration_糖度,0.5885258161454012,0.9533165567003935,0.6944440547729311
任务1_品质预测,R210+S960双光谱,SVR回归,测试集,titration_糖酸比,0.16466884568029228,3.3996189747738232,2.7350236586209378
任务1_品质预测,R210+S960双光谱,SVR回归,测试集,titration_酸度,-0.37913430610337895,0.15225026973181055,0.1214385972195457
任务1_品质预测,R210+S960双光谱,SVR回归,验证集,titration_VC,0.4329921074592834,6.6911200176616985,4.777863729105496
任务1_品质预测,R210+S960双光谱,SVR回归,验证集,titration_糖度,0.4721820442631586,1.115497585202371,0.9013470532181819
任务1_品质预测,R210+S960双光谱,SVR回归,验证集,titration_糖酸比,0.3664250958925258,2.9709247682115607,2.381060237993042
任务1_品质预测,R210+S960双光谱,SVR回归,验证集,titration_酸度,-0.002048967120077405,0.12173821456277324,0.0963016812720804
任务1_品质预测,R210+S960双光谱,XGBoost回归,测试集,titration_VC,0.32353232760657,6.010128476759372,4.6123306006693525
任务1_品质预测,R210+S960双光谱,XGBoost回归,测试集,titration_糖度,0.5363773709004367,1.011924596186059,0.8226626825332642
任务1_品质预测,R210+S960双光谱,XGBoost回归,测试集,titration_糖酸比,0.18878778414187825,3.3501800338643686,2.6800256225730763
任务1_品质预测,R210+S960双光谱,XGBoost回归,测试集,titration_酸度,-0.1201807148952494,0.13721412977817055,0.10627997211615246
